number,year,title,status,doi,match_score,title_score,matched_title,matched_journal,matched_year,note
1,2026,Structural and Transport Origins of Oxidative Stability in PEO–LiTFSI Electrolytes,accepted,10.1016/j.cej.2026.174986,0.9714,1.0000,Structural and transport origins of oxidative stability in PEO–LiTFSI electrolytes,Chemical Engineering Journal,2026,accepted
2,2026,Facet-Resolved Mechanistic Insights into OER-Selective Seawater Electrolysis on Co3O4,accepted,10.1016/j.apcatb.2025.125974,0.9844,1.0000,Facet-resolved mechanistic insights into OER-selective seawater electrolysis on Co3O4,Applied Catalysis B: Environment and Energy,2026,accepted
3,2026,Surface-Modification of Carbon-Nitrogen-Zinc Oxide using Biofilm-derived Silver Nanoparticles for Enhanced Photocatalytic Activities,accepted,10.1016/j.poly.2025.117831,0.9750,1.0000,Surface-modification of carbon-nitrogen-zinc oxide using biofilm-derived silver nanoparticles for enhanced photocatalytic activities,Polyhedron,2026,accepted
4,2025,In Situ Coating of HKUST-1 on Polymer Separators for Enhanced Thermal and Interfacial Stability in Lithium Metal Batteries,accepted,10.1016/j.surfin.2025.107460,0.9794,1.0000,In situ coating of HKUST-1 on polymer separators for enhanced thermal and interfacial stability in lithium metal batteries,Surfaces and Interfaces,2025,accepted
5,2025,State-of-the-art developments in metal/metal oxide and graphene-based nano-hybrid systems for photocatalytic degradation of tetracycline antibiotics,accepted,10.1016/j.jiec.2025.01.012,0.9700,1.0000,State-of-the-art developments in metal/metal oxide and graphene-based nano-hybrid systems for photocatalytic degradation of tetracycline antibiotics,Journal of Industrial and Engineering Chemistry,2025,accepted
6,2025,Aqueous Supercapacitors with Ultrawide Potential Window and pH Independent Stability Using Electrodes of Graphene Oxide Nanoribbons/Fe-MOFs Nanocomposite,accepted,10.1016/j.cej.2025.164012,0.9763,1.0000,Aqueous supercapacitors with ultrawide potential window and pH independent stability using electrodes of graphene oxide nanoribbons/Fe-MOFs nanocomposite,Chemical Engineering Journal,2025,accepted
7,2025,Impact of Electrolyte Decomposition on Copper Corrosion in Li6PS5Cl-Based All-Solid-State Batteries,accepted,10.1002/adfm.202420474,0.9088,0.9083,Impact of Electrolyte Decomposition on Copper Corrosion in Li<sub>6</sub>PS<sub>5</sub>Cl‐Based All‐Solid‐State Batteries,Advanced Functional Materials,2025,accepted
8,2025,"Activation of Peroxymonosulfate for Rhodamine-B Removal from Water: Enhanced Efficiency with Cobalt-Enriched, Magnetically Recoverable CNTs",accepted,10.1039/d4ra09105a,0.9923,1.0000,"Activation of peroxymonosulfate for rhodamine-B removal from water: enhanced efficiency with cobalt-enriched, magnetically recoverable CNTs",RSC Advances,2025,accepted
9,2025,Zr-MOFs Composites with Zipped and Unzipped Carbon Nanotubes for High-Performance Electrochemical Supercapacitors,accepted,10.1039/d4nr03926b,0.9744,0.9956,Zr-MOF composites with zipped and unzipped carbon nanotubes for high-performance electrochemical supercapacitors,Nanoscale,2025,accepted
10,2024,Design a well-dispersed ag-based/Cofe2o4–Cnt catalyst for hydrogen production via Nabh4 hydrolysis,accepted,10.1016/j.ceramint.2024.08.486,0.9923,1.0000,Design a well-dispersed Ag-based/CoFe2O4–CNT catalyst for hydrogen production via NaBH4 hydrolysis,Ceramics International,2024,accepted
11,2024,Enhancement of fungal cellulase production using pretreated orange peel waste and its application in improved bioconversion of rice husk under the influence of nickel cobaltite nanoparticles,accepted,10.1007/s13399-022-03070-3,1.0000,1.0000,Enhancement of fungal cellulase production using pretreated orange peel waste and its application in improved bioconversion of rice husk under the influence of nickel cobaltite nanoparticles,Biomass Conversion and Biorefinery,2024,accepted
12,2024,Fabrication of high-performance supercapacitor of surface-engineered ZIF-8 for energy storage applications,accepted,10.1016/j.est.2024.112199,1.0000,1.0000,Fabrication of high-performance supercapacitor of surface-engineered ZIF-8 for energy storage applications,Journal of Energy Storage,2024,accepted
13,2024,Understanding the capacity increase mechanism in MoO2/C anodes for Lithium-Ion batteries,accepted,10.1016/j.jelechem.2024.118257,0.9731,1.0000,Understanding the capacity increase mechanism in MoO2/C anodes for Lithium-Ion batteries,Journal of Electroanalytical Chemistry,2024,accepted
14,2024,Non-Enzymatic Glucose Sensors Composed of Polyaniline Nanofibers with High Electrochemical Performance,accepted,10.3390/molecules29112439,1.0000,1.0000,Non-Enzymatic Glucose Sensors Composed of Polyaniline Nanofibers with High Electrochemical Performance,Molecules,2024,accepted
15,2024,Improved production of thermo-alkali-tolerant fungal cellulolytic cocktail following Co-fermentation of sugarcane bagasse and secondary sewage sludge,accepted,10.1007/s13399-022-02694-9,1.0000,1.0000,Improved production of thermo-alkali-tolerant fungal cellulolytic cocktail following Co-fermentation of sugarcane bagasse and secondary sewage sludge,Biomass Conversion and Biorefinery,2024,accepted
16,2024,Behavior of NO3-Based Electrolyte Additive in Lithium Metal Batteries,accepted,10.3390/batteries10040135,1.0000,1.0000,Behavior of NO3−-Based Electrolyte Additive in Lithium Metal Batteries,Batteries,2024,accepted
17,2024,Strategies for Enhancing the Stability of Lithium Metal Anodes in Solid-State Electrolytes,accepted,10.3390/mi15040453,1.0000,1.0000,Strategies for Enhancing the Stability of Lithium Metal Anodes in Solid-State Electrolytes,Micromachines,2024,accepted
18,2024,Biofilm-engineered fabrication of Ag nanoparticles with modified ZIF-8-derived ZnO for a high-performance supercapacitor,accepted,10.1016/j.est.2023.109646,1.0000,1.0000,Biofilm-engineered fabrication of Ag nanoparticles with modified ZIF-8-derived ZnO for a high-performance supercapacitor,Journal of Energy Storage,2024,accepted
